ID;Name;Sex;Age;Height;Weight;Team;NOC;Games;Year;Season;City;Sport;Event;Medal
351;Julius Shareef Abdur-Rahim;M;230;2020;1040;United States;USA;2000 Summer;2000;Summer;Sydney;Basketball;Basketball Men's Basketball;Gold
2636;"Stephen Todd ""Steve"" Alford";M;190;1850;740;United States;USA;1984 Summer;1984;Summer;Los Angeles;Basketball;Basketball Men's Basketball;Gold
2863;Walter Ray Allen;M;250;1920;930;United States;USA;2000 Summer;2000;Summer;Sydney;Basketball;Basketball Men's Basketball;Gold
3874;"William Lloyd ""Willie"" Anderson, Jr.";M;210;2000;860;United States;USA;1988 Summer;1988;Summer;Seoul;Basketball;Basketball Men's Basketball;Bronze
4505;Carmelo Kyan Anthony;M;200;2030;1090;United States;USA;2004 Summer;2004;Summer;Athina;Basketball;Basketball Men's Basketball;Bronze
4505;Carmelo Kyan Anthony;M;240;2030;1090;United States;USA;2008 Summer;2008;Summer;Beijing;Basketball;Basketball Men's Basketball;Gold
4505;Carmelo Kyan Anthony;M;280;2030;1090;United States;USA;2012 Summer;2012;Summer;London;Basketball;Basketball Men's Basketball;Gold
4505;Carmelo Kyan Anthony;M;320;2030;1090;United States;USA;2016 Summer;2016;Summer;Rio de Janeiro;Basketball;Basketball Men's Basketball;Gold
5173;"Michel Taylor ""Tate"" Armstrong";M;200;1900;770;United States;USA;1976 Summer;1976;Summer;Montreal;Basketball;Basketball Men's Basketball;Gold
5212;Jay Joseph Hoyland Arnette;M;210;1880;790;United States;USA;1960 Summer;1960;Summer;Roma;Basketball;Basketball Men's Basketball;Gold
5949;Stacey Orlando Augmon;M;200;2000;870;United States;USA;1988 Summer;1988;Summer;Seoul;Basketball;Basketball Men's Basketball;Bronze
7040;"Vincent Lamont ""Vin"" Baker";M;280;2070;1090;United States;USA;2000 Summer;2000;Summer;Sydney;Basketball;Basketball Men's Basketball;Gold
7396;"Samuel J. ""Sam"" Balter, Jr.";M;260;1780;680;United States;USA;1936 Summer;1936;Summer;Berlin;Basketball;Basketball Men's Basketball;Gold
7586;"Michael Allen ""Mike"" Bantom";M;200;2030;930;United States;USA;1972 Summer;1972;Summer;Munich;Basketball;Basketball Men's Basketball;Silver
7881;"Clifford Eugene ""Cliff"" Barker";M;270;1880;840;United States;USA;1948 Summer;1948;Summer;London;Basketball;Basketball Men's Basketball;Gold
7901;Charles Wade Barkley;M;290;1980;1140;United States;USA;1992 Summer;1992;Summer;Barcelona;Basketball;Basketball Men's Basketball;Gold
7901;Charles Wade Barkley;M;330;1980;1140;United States;USA;1996 Summer;1996;Summer;Atlanta;Basketball;Basketball Men's Basketball;Gold
7908;"Donald Argee ""Don"" Barksdale";M;250;1980;910;United States;USA;1948 Summer;1948;Summer;London;Basketball;Basketball Men's Basketball;Gold
7956;Harrison Bryce Jordan Barnes;M;240;2030;1020;United States;USA;2016 Summer;2016;Summer;Rio de Janeiro;Basketball;Basketball Men's Basketball;Gold
7958;"Velvet James ""Jim"" Barnes";M;230;2010;1090;United States;USA;1964 Summer;1964;Summer;Tokyo;Basketball;Basketball Men's Basketball;Gold
8104;"Michael Thomas ""Mike"" Barrett";M;250;1880;730;United States;USA;1968 Summer;1968;Summer;Mexico City;Basketball;Basketball Men's Basketball;Gold
9039;Ralph Milton Beard, Jr.;M;200;1780;790;United States;USA;1948 Summer;1948;Summer;London;Basketball;Basketball Men's Basketball;Gold
9178;"Lewis William ""Lew"" Beck, Jr.";M;260;1830;750;United States;USA;1948 Summer;1948;Summer;London;Basketball;Basketball Men's Basketball;Gold
9670;"Walter Jones ""Walt"" Bellamy, Jr.";M;230;2110;980;United States;USA;1960 Summer;1960;Summer;Roma;Basketball;Basketball Men's Basketball;Gold
11668;Larry Joe Bird;M;350;2050;1000;United States;USA;1992 Summer;1992;Summer;Barcelona;Basketball;Basketball Men's Basketball;Gold
11790;Ralph English Bishop;M;200;1930;860;United States;USA;1936 Summer;1936;Summer;Berlin;Basketball;Basketball Men's Basketball;Gold
13302;"Ronald Yngve ""Ron"" Bontemps";M;250;1880;790;United States;USA;1952 Summer;1952;Summer;Helsinki;Basketball;Basketball Men's Basketball;Gold
13371;"Robert Lewis ""Bob"" Boozer";M;230;2030;990;United States;USA;1960 Summer;1960;Summer;Roma;Basketball;Basketball Men's Basketball;Gold
13372;Carlos Austin Boozer, Jr.;M;220;2060;1170;United States;USA;2004 Summer;2004;Summer;Athina;Basketball;Basketball Men's Basketball;Bronze
13372;Carlos Austin Boozer, Jr.;M;260;2060;1170;United States;USA;2008 Summer;2008;Summer;Beijing;Basketball;Basketball Men's Basketball;Gold
13682;"Vincent Joseph ""Vince"" Boryla";M;210;1950;950;United States;USA;1948 Summer;1948;Summer;London;Basketball;Basketball Men's Basketball;Gold
13739;"Christopher Wesson ""Chris"" Bosh";M;240;2080;1040;United States;USA;2008 Summer;2008;Summer;Beijing;Basketball;Basketball Men's Basketball;Gold
14153;"Richard James ""Dick"" Boushka";M;220;1950;950;United States;USA;1956 Summer;1956;Summer;Melbourne;Basketball;Basketball Men's Basketball;Gold
14504;"William Warren ""Bill"" Bradley";M;210;1960;930;United States;USA;1964 Summer;1964;Summer;Tokyo;Basketball;Basketball Men's Basketball;Gold
15009;"James Turner ""Jim"" Brewer";M;200;2060;1000;United States;USA;1972 Summer;1972;Summer;Munich;Basketball;Basketball Men's Basketball;Silver
15555;"Lawrence Harvey ""Larry"" Brown";M;240;1780;730;United States;USA;1964 Summer;1964;Summer;Tokyo;Basketball;Basketball Men's Basketball;Gold
15891;Kobe Bean Bryant;M;290;1980;1000;United States;USA;2008 Summer;2008;Summer;Beijing;Basketball;Basketball Men's Basketball;Gold
15891;Kobe Bean Bryant;M;330;1980;1000;United States;USA;2012 Summer;2012;Summer;London;Basketball;Basketball Men's Basketball;Gold
